# Species	Genes	Alg.-Conn.	com_protein.CCAP.faa	com_protein.Hart1.faa	com_protein.braziliensis.faa	com_protein.donovani.faa	com_protein.grayi.faa	com_protein.hertigi.faa	com_protein.martiniquensis.faa	com_protein.orientalis.faa	com_protein.pyrrhocoris.faa	com_protein.theileri.faa
9	9	0.73	*	CCW71002.1	XP_001565668.1	CBZ34846.1	KEG13255.1	KAG5502945.1	KAG5477083.1	KAG5477347.1	KPA79731.1	ORC89602.1
9	9	0.73	*	CCW71945.1	XP_001568230.1	CBZ38034.1	KEG09352.1	KAG5492542.1	KAG5466710.1	KAG5466158.1	KPA86034.1	ORC84108.1
9	9	0.73	*	CCW72029.1	XP_001563493.1	CBZ32864.1	KEG06666.1	KAG5509074.1	KAG5482825.1	KAG5483003.1	KPA73331.1	ORC88090.1
9	9	0.729	*	CCW69131.1	XP_001563941.2	CBZ33321.1	KEG12157.1	KAG5507548.1	KAG5480984.1	KAG5481306.1	KPA78447.1	ORC92604.1
9	9	0.729	*	CCW69456.1	XP_001568359.1	CBZ38162.1	KEG10927.1	KAG5492676.1	KAG5466839.1	KAG5466294.1	KPA86239.1	ORC92215.1
9	9	0.729	*	CCW69763.1	XP_001561612.1	CBZ31261.1	KEG11052.1	KAG5511886.1	KAG5487698.1	KAG5487994.1	KPA73589.1	ORC93312.1
9	9	0.729	*	CCW70602.1	XP_001567473.1	CBZ36843.1	KEG12992.1	KAG5496167.1	KAG5470506.1	KAG5470084.1	KPA84631.1	ORC88386.1
9	9	0.728	*	CCW66844.1	XP_001563169.1	CBZ32528.1	KEG10945.1	KAG5509530.1	KAG5484005.1	KAG5484309.1	KPA76537.1	ORC86183.1
9	9	0.728	*	CCW67208.1	XP_003723021.1	CBZ33687.1	KEG12248.1	KAG5506416.1	KAG5479973.1	KAG5480359.1	KPA75360.1	ORC89038.1
9	9	0.728	*	CCW69037.1	XP_001561841.1	CBZ31491.1	KEG14003.1	KAG5511392.1	KAG5487034.1	KAG5487587.1	KPA80782.1	ORC90444.1
9	9	0.728	*	CCW69190.1	XP_001563963.1	CBZ33344.1	KEG15086.1	KAG5507572.1	KAG5481007.1	KAG5481328.1	KPA78492.1	ORC92625.1
9	9	0.728	*	CCW71498.1	XP_001567976.2	CBZ37335.1	KEG11631.1	KAG5495153.1	KAG5469463.1	KAG5469105.1	KPA81150.1	ORC91523.1
9	9	0.727	*	CCW67556.1	XP_001561747.1	CBZ31395.1	KEG12133.1	KAG5511653.1	KAG5487492.1	KAG5487836.1	KPA75537.1	ORC85427.1
9	9	0.727	*	CCW68030.1	XP_001566767.1	CBZ36152.1	KEG11494.1	KAG5498638.1	KAG5472350.1	KAG5472729.1	KPA83143.1	ORC90941.1
9	9	0.727	*	CCW71469.1	XP_001567996.1	CBZ37355.1	KEG11784.1	KAG5495174.1	KAG5469485.1	KAG5469127.1	KPA81120.1	ORC91558.1
9	9	0.727	*	CCW71849.1	XP_001564715.1	CBZ33815.1	KEG14516.1	KAG5505641.1	KAG5479322.1	KAG5479704.1	KPA78097.1	ORC89333.1
9	9	0.726	*	CCW66609.1	XP_001564404.1	CBZ37605.1	KEG13132.1	KAG5493892.1	KAG5468197.1	KAG5467795.1	KPA82173.1	ORC93533.1
9	9	0.726	*	CCW67145.1	XP_001564665.1	CBZ37882.1	KEG15456.1	KAG5494154.1	KAG5468473.1	KAG5468066.1	KPA82558.1	ORC93832.1
9	9	0.726	*	CCW67342.1	XP_001566522.1	CBZ35907.1	KEG13813.1	KAG5490380.1	KAG5473831.1	KAG5473551.1	KPA80548.1	ORC90234.1
9	9	0.726	*	CCW67761.1	XP_001567675.1	CBZ37041.1	KEG08763.1	KAG5496359.1	KAG5470706.1	KAG5470289.1	KPA84915.1	ORC87383.1
9	9	0.726	*	CCW70270.1	XP_001563119.1	CBZ32469.1	KEG10434.1	KAG5509871.1	KAG5484507.1	KAG5484893.1	KPA75723.1	ORC85864.1
9	9	0.726	*	CCW70294.1	XP_001564797.1	CBZ33902.1	KEG08066.1	KAG5505723.1	KAG5479410.1	KAG5479794.1	KPA78217.1	ORC89449.1
9	9	0.726	*	CCW70762.1	XP_001562476.1	CBZ35143.1	KEG08724.1	KAG5502032.1	KAG5476552.1	KAG5476279.1	KPA74068.1	ORC92791.1
9	9	0.726	*	CCW71098.1	XP_001565857.1	CBZ35236.1	KEG08468.1	KAG5501440.1	KAG5475322.1	KAG5475581.1	KPA80903.1	ORC93071.1
9	9	0.726	*	CCW71528.1	XP_001564162.1	CBZ33506.1	KEG12597.1	KAG5507008.1	KAG5480520.1	KAG5480849.1	KPA82651.1	ORC92497.1
9	9	0.725	*	CCW66300.1	XP_001565010.1	CBZ34126.1	KEG10063.1	KAG5504975.1	KAG5479095.1	KAG5479255.1	KPA85736.1	ORC87960.1
9	9	0.725	*	CCW67100.1	XP_001568673.1	CBZ38480.1	KEG14223.1	KAG5489916.1	KAG5463864.1	KAG5464595.1	KPA79869.1	ORC93175.1
9	9	0.725	*	CCW68097.1	XP_001566853.1	CBZ36253.1	KEG15614.1	KAG5498726.1	KAG5472450.1	KAG5472827.1	KPA83290.1	ORC90843.1
9	9	0.725	*	CCW70769.1	XP_001562483.1	CBZ35151.1	KEG12569.1	KAG5502042.1	KAG5476562.1	KAG5476290.1	KPA74055.1	ORC92783.1
9	9	0.725	KNH05014.1	CCW70959.1	XP_001565756.1	CBZ34790.1	KEG05668.1	KAG5502889.1	*	KAG5477293.1	KPA79641.1	ORC89664.1
9	9	0.724	*	CCW68925.1	XP_001568515.1	CBZ38319.1	KEG11948.1	KAG5492835.1	KAG5467000.1	KAG5466465.1	KPA86502.1	ORC92047.1
9	9	0.723	*	CCW66204.1	XP_001567893.1	CBZ37252.1	KEG10277.1	KAG5495065.1	KAG5469378.1	KAG5469025.1	KPA76662.1	ORC90561.1
9	9	0.723	*	CCW68142.1	XP_001566915.1	CBZ36314.1	KEG14893.1	KAG5498792.1	KAG5472512.1	KAG5472889.1	KPA83380.1	ORC90774.1
9	9	0.723	*	CCW68929.1	XP_001568521.1	CBZ38325.1	KEG11373.1	KAG5492841.1	KAG5467006.1	KAG5466471.1	KPA86511.1	ORC92041.1
9	9	0.723	*	CCW69005.1	XP_001568621.1	CBZ38425.1	KEG14947.1	KAG5492947.1	KAG5467110.1	KAG5466583.1	KPA86673.1	ORC91927.1
9	9	0.723	*	CCW70222.1	XP_001562261.1	CBZ34912.1	KEG11224.1	KAG5501785.1	KAG5476328.1	KAG5476051.1	KPA86724.1	ORC87665.1
9	9	0.723	*	CCW70581.1	XP_001567445.1	CBZ36815.1	KEG11657.1	KAG5496140.1	KAG5470477.1	KAG5470055.1	KPA84586.1	ORC88417.1
9	9	0.723	*	CCW71634.1	XP_001567030.1	CBZ36419.1	KEG13511.1	KAG5497493.1	KAG5471248.1	KAG5471562.1	KPA73990.1	ORC84742.1
9	9	0.722	*	CCW68647.1	XP_001566231.2	CBZ35601.1	KEG15362.1	KAG5500513.1	KAG5474429.1	KAG5474762.1	KPA85274.1	ORC87095.1
9	9	0.722	*	CCW69188.1	XP_001563966.1	CBZ33347.1	KEG15089.1	KAG5507575.1	KAG5481010.1	KAG5481331.1	KPA78495.1	ORC92628.1
9	9	0.722	*	CCW70005.1	XP_001569231.1	CBZ39050.1	KEG09727.1	KAG5490747.1	KAG5464435.1	KAG5465172.1	KPA81731.1	ORC85624.1
9	9	0.722	*	CCW70320.1	XP_001564829.1	CBZ33937.1	KEG15528.1	KAG5505752.1	KAG5479439.1	KAG5479825.1	KPA78264.1	ORC89485.1
9	9	0.722	*	CCW70756.1	XP_001562468.1	CBZ35134.1	KEG11384.1	KAG5502023.1	KAG5476544.1	KAG5476274.1	KPA74080.1	ORC92801.1
9	9	0.721	*	CCW65964.1	XP_001565437.1	CBZ34562.1	KEG10864.1	KAG5503510.1	KAG5477825.1	KAG5478063.1	KPA79254.1	ORC88808.1
9	9	0.721	*	CCW67149.1	XP_001564659.1	CBZ37876.1	KEG15451.1	KAG5494148.1	KAG5468467.1	KAG5468061.1	KPA82551.1	ORC93827.1
9	9	0.721	*	CCW68208.1	XP_001566993.1	CBZ36394.1	KEG14388.1	KAG5498870.1	KAG5472589.1	KAG5472973.1	KPA83529.1	ORC90686.1
9	9	0.721	*	CCW68463.1	XP_001567769.1	CBZ37139.1	KEG15566.1	KAG5496458.1	KAG5470805.1	KAG5470390.1	KPA85051.1	ORC87490.1
9	9	0.721	*	CCW71073.1	XP_001565892.1	CBZ35271.1	KEG07592.1	KAG5501474.1	KAG5475357.1	KAG5475615.1	KPA80951.1	ORC91715.1
9	9	0.721	*	CCW71521.1	XP_001564152.1	CBZ33496.1	KEG09173.1	KAG5506999.1	KAG5480509.1	KAG5480838.1	KPA82637.1	ORC92507.1
9	9	0.721	KNH09666.1	*	XP_001563631.2	CBZ33007.1	KEG09930.1	KAG5508728.1	KAG5481948.1	KAG5482305.1	KPA77797.1	ORC83609.1
9	9	0.72	*	CCW66652.1	XP_001563057.1	CBZ32404.1	KEG12374.1	KAG5509809.1	KAG5484445.1	KAG5484825.1	KPA75839.1	ORC85793.1
9	9	0.72	*	CCW69070.1	XP_001561877.2	CBZ31520.1	KEG06217.1	KAG5511421.1	KAG5487064.1	KAG5487617.1	KPA80832.1	ORC85042.1
9	9	0.72	*	CCW69154.1	XP_001564016.1	CBZ33389.1	KEG15172.1	KAG5507620.1	KAG5481053.1	KAG5481374.1	KPA78564.1	ORC92675.1
9	9	0.72	*	CCW71701.1	XP_001563662.1	CBZ33038.1	KEG08647.1	KAG5508767.1	KAG5481981.1	KAG5482340.1	KPA77855.1	ORC86384.1
9	9	0.719	*	CCW66429.1	XP_001564620.1	CBZ37837.1	KEG14261.1	KAG5494109.1	KAG5468428.1	KAG5468021.1	KPA82487.1	ORC93792.1
9	9	0.719	*	CCW66627.1	XP_001561719.1	CBZ31368.1	KEG10371.1	KAG5511628.1	KAG5487464.1	KAG5487803.1	KPA75472.1	ORC85454.1
9	9	0.719	*	CCW68802.1	XP_001568138.1	CBZ37930.1	KEG11987.1	KAG5492444.1	KAG5466612.1	KAG5466061.1	KPA85863.1	ORC84713.1
9	9	0.719	*	CCW72249.1	XP_001562191.1	CBZ31720.1	KEG15297.1	KAG5510863.1	KAG5486141.1	KAG5486788.1	KPA73240.1	ORC90502.1
9	9	0.718	*	CCW67757.1	XP_001567669.1	CBZ37036.1	KEG10592.1	KAG5496354.1	KAG5470699.1	KAG5470283.1	KPA84910.1	ORC87374.1
9	9	0.718	*	CCW68919.1	XP_001568508.1	CBZ38312.1	KEG11941.1	KAG5492828.1	KAG5466993.1	KAG5466458.1	KPA86495.1	ORC92053.1
9	9	0.718	*	CCW69573.1	XP_001564084.1	CBZ33467.1	KEG14172.1	KAG5507691.1	KAG5481122.1	KAG5481448.1	KPA78678.1	ORC92757.1
9	9	0.717	*	CCW68243.1	XP_001565087.1	CBZ34210.1	KEG07933.1	KAG5504329.1	KAG5478601.1	KAG5478390.1	KPA84149.1	ORC83728.1
9	9	0.717	*	CCW69550.1	XP_001562640.1	CBZ32001.1	KEG12934.1	KAG5510528.1	KAG5485457.1	KAG5486006.1	KPA77499.1	ORC86034.1
9	9	0.717	KNH07115.1	*	XP_001564499.1	CBZ37722.1	KEG09783.1	KAG5493998.1	KAG5468305.1	KAG5467905.1	KPA82334.1	ORC93660.1
9	9	0.716	*	CCW66093.1	XP_001565286.1	CBZ34406.1	KEG14352.1	KAG5492995.1	KAG5477673.1	KAG5477908.1	KPA79014.1	ORC84609.1
9	9	0.716	*	CCW67180.1	XP_001564629.1	CBZ37846.1	KEG14252.1	KAG5494118.1	KAG5468437.1	KAG5468030.1	KPA82501.1	ORC93797.1
9	9	0.716	*	CCW68739.1	XP_001566100.1	CBZ35475.1	KEG11870.1	KAG5500391.1	KAG5474300.1	KAG5474632.1	KPA85481.1	ORC89743.1
9	9	0.716	*	CCW70180.1	XP_001562319.1	CBZ34970.1	KEG12518.1	KAG5501841.1	KAG5476389.1	KAG5476112.1	KPA86824.1	ORC87598.1
9	9	0.716	*	CCW70229.1	XP_001562247.1	CBZ34901.1	KEG12227.1	KAG5501772.1	KAG5476317.1	KAG5476040.1	KPA86710.1	ORC87677.1
9	9	0.716	*	CCW71232.1	XP_001561962.2	CBZ31611.1	KEG05901.1	KAG5511156.1	KAG5486686.1	KAG5487237.1	KPA83612.1	ORC84863.1
9	9	0.715	*	CCW68695.1	XP_001566156.1	CBZ35531.1	KEG13130.1	KAG5500442.1	KAG5474357.1	KAG5474687.1	KPA85395.1	ORC89783.1
9	9	0.715	*	CCW68717.1	XP_001566126.1	CBZ35502.1	KEG14098.1	KAG5500415.1	KAG5474326.1	KAG5474657.1	KPA85446.1	ORC89716.1
9	9	0.715	*	CCW69038.1	XP_001561843.1	CBZ31493.1	KEG14006.1	KAG5511393.1	KAG5487036.1	KAG5487589.1	KPA80785.1	ORC90442.1
9	9	0.715	*	CCW71547.1	XP_001564182.1	CBZ33525.1	KEG12427.1	KAG5507028.1	KAG5480539.1	KAG5480869.1	KPA82681.1	ORC92478.1
9	9	0.715	*	CCW71712.1	XP_001563645.1	CBZ33022.1	KEG11095.1	KAG5508743.1	KAG5481963.1	KAG5482323.1	KPA77819.1	ORC89951.1
9	9	0.714	*	CCW66903.1	XP_001568911.1	CBZ38722.1	KEG12717.1	KAG5490150.1	KAG5464104.1	KAG5464843.1	KPA81228.1	ORC85233.1
9	9	0.714	*	CCW68144.1	XP_001566919.1	CBZ36319.1	KEG14899.1	KAG5498796.1	KAG5472517.1	KAG5472894.1	KPA83385.1	ORC90768.1
9	9	0.714	*	CCW70617.1	XP_001567496.2	CBZ36861.1	KEG07352.1	KAG5496184.1	KAG5470524.1	KAG5470102.1	KPA84656.1	ORC88367.1
9	9	0.714	*	CCW72331.1	XP_001564296.1	CBZ37484.1	KEG06287.1	KAG5493769.1	KAG5468090.1	KAG5467680.1	KPA81974.1	ORC89116.1
9	9	0.713	*	CCW70473.1	XP_001562558.1	CBZ31777.1	KEG09005.1	KAG5510920.1	KAG5486195.1	KAG5486848.1	KPA74327.1	ORC87161.1
9	9	0.713	*	CCW71805.1	XP_001564771.1	CBZ33873.1	KEG08803.1	KAG5505694.1	KAG5479380.1	KAG5479765.1	KPA78178.1	ORC89396.1
9	9	0.712	*	CCW67333.1	XP_001567024.2	CBZ35920.1	KEG13802.1	KAG5490371.1	KAG5473839.1	KAG5473560.1	KPA80567.1	ORC90246.1
9	9	0.712	*	CCW67719.1	XP_001567623.1	CBZ36991.1	KEG13541.1	KAG5496309.1	KAG5470653.1	KAG5470239.1	KPA84841.1	ORC87321.1
9	9	0.712	*	CCW67800.1	XP_001563567.1	CBZ32942.1	KEG11292.1	KAG5509147.1	KAG5482926.1	KAG5483082.1	KPA75072.1	ORC93612.1
9	9	0.712	*	CCW67944.1	XP_001566674.2	CBZ36059.1	KEG06847.1	KAG5498547.1	KAG5472258.1	KAG5472637.1	KPA83010.1	ORC91049.1
9	9	0.712	*	CCW68699.1	XP_001566149.1	CBZ35525.1	KEG11917.1	KAG5500437.1	KAG5474350.1	KAG5474680.1	KPA85409.1	ORC89383.1
9	9	0.711	*	CCW67699.1	XP_001567593.1	CBZ36962.1	KEG14318.1	KAG5496280.1	KAG5470624.1	KAG5470209.1	KPA84798.1	ORC88247.1
9	9	0.711	*	CCW67823.1	XP_001563597.1	CBZ32972.1	KEG13906.1	KAG5509175.1	KAG5482952.1	KAG5483109.1	KPA75028.1	ORC88217.1
9	9	0.711	*	CCW68133.1	XP_001566905.1	CBZ36304.1	KEG14878.1	KAG5498781.1	KAG5472500.1	KAG5472877.1	KPA83365.1	ORC90787.1
9	9	0.711	*	CCW69305.1	XP_001568958.1	CBZ38770.1	KEG10604.1	KAG5490202.1	KAG5464158.1	KAG5464894.1	KPA81298.1	ORC91485.1
9	9	0.711	*	CCW70061.1	XP_001569290.1	CBZ39108.1	KEG10296.1	KAG5490813.1	KAG5464494.1	KAG5465236.1	KPA81828.1	ORC85556.1
9	9	0.711	*	CCW71603.1	XP_001562413.1	CBZ35078.1	KEG12462.1	KAG5501972.1	KAG5476492.1	KAG5476218.1	KPA74193.1	ORC92870.1
9	9	0.71	*	CCW66111.1	XP_001567772.2	CBZ37143.1	KEG05878.1	KAG5494964.1	KAG5469262.1	KAG5468917.1	KPA76874.1	ORC91109.1
9	9	0.71	*	CCW66336.1	XP_001565057.1	CBZ34175.1	KEG12030.1	KAG5505022.1	KAG5479136.1	KAG5479300.1	KPA85804.1	ORC88018.1
9	9	0.71	*	CCW68777.1	XP_001566057.1	CBZ35429.1	KEG07605.1	KAG5500347.1	KAG5474254.1	KAG5474584.1	KPA85550.1	ORC88650.1
9	9	0.71	*	CCW70668.1	XP_001567557.1	CBZ36924.1	KEG14862.1	KAG5496246.1	KAG5470586.1	KAG5470167.1	KPA84743.1	ORC88294.1
9	9	0.71	*	CCW71731.1	XP_001563620.1	CBZ32995.1	KEG07888.1	KAG5508714.1	KAG5481938.1	KAG5482293.1	KPA77776.1	ORC83622.1
9	9	0.71	KNH05171.1	*	XP_001564420.1	CBZ37624.1	KEG07758.1	KAG5493912.1	KAG5468217.1	KAG5467817.1	KPA82201.1	ORC86848.1
9	9	0.71	KNH07535.1	CCW71953.1	XP_001568240.1	CBZ38044.1	*	KAG5492551.1	KAG5466719.1	KAG5466168.1	KPA86049.1	ORC84118.1
9	9	0.709	*	CCW66613.1	XP_001564400.1	CBZ37600.1	KEG13138.1	KAG5493887.1	KAG5468192.1	KAG5467790.1	KPA82168.1	ORC93527.1
9	9	0.709	*	CCW67262.1	XP_001566624.1	CBZ36012.1	KEG13746.1	KAG5499429.1	KAG5473928.1	KAG5473650.1	KPA80708.1	ORC93410.1
9	9	0.709	*	CCW67702.1	XP_001567596.1	CBZ36965.1	KEG14320.1	KAG5496282.1	KAG5470627.1	KAG5470212.1	KPA84801.1	ORC88244.1
9	9	0.709	*	CCW67755.1	XP_001567667.1	CBZ37034.1	KEG10594.1	KAG5496352.1	KAG5470697.1	KAG5470281.1	KPA84908.1	ORC87372.1
9	9	0.709	*	CCW71178.1	XP_001562034.1	CBZ31689.1	KEG05786.1	KAG5511229.1	KAG5486756.1	KAG5487320.1	KPA83722.1	ORC85339.1
9	9	0.709	*	CCW71748.1	XP_001563763.1	CBZ33142.1	KEG09722.1	KAG5508860.1	KAG5482080.1	KAG5482436.1	KPA78076.1	ORC89848.1
9	9	0.709	*	CCW71856.1	XP_001564278.1	CBZ33628.1	KEG08860.1	KAG5507117.1	KAG5480633.1	KAG5480965.1	KPA82932.1	ORC92350.1
9	9	0.708	*	CCW71868.1	XP_001564263.1	CBZ33612.1	KEG13096.1	KAG5507102.1	KAG5480618.1	KAG5480951.1	KPA82952.1	ORC92364.1
9	9	0.707	*	CCW66086.1	XP_001565295.1	CBZ34416.1	KEG14342.1	KAG5492985.1	KAG5477683.1	KAG5477919.1	KPA79026.1	ORC84600.1
9	9	0.707	*	CCW67921.1	XP_001566638.1	CBZ36026.1	KEG09420.1	KAG5498481.1	KAG5472220.1	KAG5472599.1	KPA82960.1	ORC91090.1
9	9	0.707	*	CCW69139.1	XP_001564030.2	CBZ33407.1	KEG13298.1	KAG5507637.1	KAG5481069.1	KAG5481391.1	KPA78588.1	ORC92695.1
9	9	0.707	*	CCW69584.1	XP_001564071.1	CBZ33451.1	KEG06931.1	KAG5507676.1	KAG5481107.1	KAG5481433.1	KPA78636.1	ORC92740.1
9	9	0.707	*	CCW69591.1	XP_001564063.1	CBZ33443.1	KEG09078.1	KAG5507668.1	KAG5481100.1	KAG5481424.1	KPA78627.1	ORC92731.1
9	9	0.706	*	CCW66029.1	XP_001565369.1	CBZ34494.1	KEG10473.1	KAG5503443.1	KAG5477753.1	KAG5477992.1	KPA79141.1	ORC88698.1
9	9	0.706	*	CCW70301.1	XP_001564804.1	CBZ33910.1	KEG10341.1	KAG5505729.1	KAG5479416.1	KAG5479801.1	KPA78229.1	ORC89459.1
9	9	0.706	*	CCW70855.1	XP_001565535.1	CBZ34660.1	KEG12586.1	KAG5502758.1	KAG5476893.1	KAG5477154.1	KPA79426.1	ORC91847.1
9	9	0.705	*	CCW69008.1	XP_001568624.1	CBZ38428.1	KEG14950.1	KAG5492950.1	KAG5467113.1	KAG5466586.1	KPA86677.1	ORC91924.1
9	9	0.705	*	CCW69260.1	XP_001569009.1	CBZ38822.1	KEG11667.1	KAG5490258.1	KAG5464214.1	KAG5464948.1	KPA81381.1	ORC91450.1
9	9	0.705	*	CCW71870.1	XP_001564260.1	CBZ33609.1	KEG09505.1	KAG5507099.1	KAG5480614.1	KAG5480948.1	KPA82920.1	ORC92370.1
9	9	0.705	*	CCW71904.1	XP_001564217.1	CBZ33560.1	KEG12657.1	KAG5507060.1	KAG5480571.1	KAG5480898.1	KPA82847.1	ORC92441.1
9	9	0.704	*	CCW65970.1	XP_001565418.1	CBZ34527.1	KEG10049.1	KAG5503476.1	KAG5477787.1	KAG5478026.1	KPA79202.1	ORC88761.1
9	9	0.704	*	CCW67401.1	XP_001566448.1	CBZ35828.1	KEG14415.1	KAG5490456.1	KAG5473760.1	KAG5473478.1	KPA80443.1	ORC90165.1
9	9	0.704	*	CCW67656.1	XP_001564123.1	CBZ32268.1	KEG12264.1	KAG5510064.1	KAG5484698.1	KAG5485304.1	KPA76887.1	ORC88620.1
9	9	0.704	*	CCW68652.1	XP_001566226.1	CBZ35596.1	KEG08590.1	KAG5500508.1	KAG5474424.1	KAG5474757.1	KPA85279.1	ORC87099.1
9	9	0.704	*	CCW68734.1	XP_001566106.1	CBZ35481.1	KEG11876.1	KAG5500397.1	KAG5474305.1	KAG5474637.1	KPA85474.1	ORC89738.1
9	9	0.704	*	CCW69433.1	XP_001568335.1	CBZ38135.1	KEG12974.1	KAG5492649.1	KAG5466811.1	KAG5466266.1	KPA86195.1	ORC92246.1
9	9	0.704	*	CCW70363.1	XP_001564886.1	CBZ33983.1	KEG12350.1	KAG5505798.1	KAG5479485.1	KAG5479872.1	KPA78336.1	ORC93620.1
9	9	0.704	*	CCW70881.1	XP_001565713.1	CBZ34694.1	KEG14193.1	KAG5502792.1	KAG5476928.1	KAG5477189.1	KPA79472.1	ORC91808.1
9	9	0.704	*	CCW71405.1	XP_001562802.1	CBZ32152.1	KEG05967.1	KAG5488370.1	KAG5484957.1	KAG5485620.1	KPA75918.1	ORC86837.1
9	9	0.703	*	CCW67586.1	XP_001564368.1	CBZ37571.1	KEG13314.1	KAG5493848.1	KAG5468168.1	KAG5467765.1	KPA82114.1	ORC93494.1
9	9	0.703	*	CCW70696.1	XP_001567590.2	CBZ36958.1	KEG12959.1	KAG5496276.1	KAG5470619.1	KAG5470203.1	KPA84792.1	ORC88254.1
9	9	0.703	KNH07123.1	CCW70395.1	XP_001564908.1	CBZ34025.1	KEG11973.1	KAG5505838.1	*	KAG5479912.1	KPA78404.1	ORC84144.1
9	9	0.702	*	CCW65960.1	XP_001565441.1	CBZ34566.1	KEG10859.1	KAG5503514.1	KAG5477829.1	KAG5478067.1	KPA79259.1	ORC88812.1
9	9	0.702	*	CCW67096.1	XP_001568678.1	CBZ38485.1	KEG14216.1	KAG5489921.1	KAG5463870.1	KAG5464601.1	KPA79879.1	ORC93168.1
9	9	0.702	*	CCW68526.1	XP_001562082.1	CBZ31865.1	KEG08089.1	KAG5498508.1	KAG5485749.1	KAG5486425.1	KPA74777.1	ORC86426.1
9	9	0.702	*	CCW69155.1	XP_001564015.1	CBZ33388.1	KEG15173.1	KAG5507619.1	KAG5481052.1	KAG5481373.1	KPA78563.1	ORC92674.1
9	9	0.702	*	CCW69764.1	XP_001561611.1	CBZ31260.1	KEG13723.1	KAG5511885.1	KAG5487697.1	KAG5487993.1	KPA73588.1	ORC93311.1
9	9	0.702	*	CCW70209.1	XP_001562277.1	CBZ34931.1	KEG12280.1	KAG5501803.1	KAG5476348.1	KAG5476070.1	KPA86752.1	ORC87647.1
9	9	0.702	*	CCW71865.1	XP_001564268.1	CBZ33617.1	KEG13090.1	KAG5507107.1	KAG5480623.1	KAG5480956.1	KPA82944.1	ORC92359.1
9	9	0.701	*	CCW66285.1	XP_001564932.1	CBZ34045.1	KEG06771.1	KAG5504895.1	KAG5479016.1	KAG5479168.1	KPA85592.1	ORC87864.1
9	9	0.701	*	CCW68641.1	XP_001566236.1	CBZ35606.1	KEG15356.1	KAG5500518.1	KAG5474434.1	KAG5474767.1	KPA85267.1	ORC87089.1
9	9	0.701	*	CCW70093.1	XP_001569324.2	CBZ39143.1	KEG14275.1	KAG5490850.1	KAG5464533.1	KAG5465269.1	KPA81884.1	ORC85522.1
9	9	0.7	*	CCW68100.1	XP_003723206.1	CBZ36259.1	KEG15619.1	KAG5498732.1	KAG5472456.1	KAG5472833.1	KPA83300.1	ORC90838.1
9	9	0.7	*	CCW68989.1	XP_001568598.2	CBZ38436.1	KEG14926.1	KAG5492922.1	KAG5467085.1	KAG5466555.1	KPA86641.1	ORC91944.1
9	9	0.7	*	CCW69004.1	XP_001568620.1	CBZ38424.1	KEG14946.1	KAG5492946.1	KAG5467109.1	KAG5466582.1	KPA86672.1	ORC91928.1
9	9	0.7	KNH07613.1	CCW68668.1	XP_001566200.1	CBZ35571.1	KEG14537.1	*	KAG5474396.1	KAG5474729.1	KPA85320.1	ORC89821.1
9	9	0.699	*	CCW67283.1	XP_001566590.2	CBZ35986.1	KEG14058.1	KAG5490305.1	KAG5473901.1	KAG5473624.1	KPA80669.1	ORC93438.1
9	9	0.699	*	CCW68428.1	XP_001567724.1	CBZ37094.1	KEG12457.1	KAG5496414.1	KAG5470759.1	KAG5470346.1	KPA84991.1	ORC87445.1
9	9	0.699	*	CCW69601.1	XP_001564054.2	CBZ33430.1	KEG15142.1	KAG5507658.1	KAG5481090.1	KAG5481413.1	KPA78613.1	ORC92717.1
9	9	0.698	*	CCW69563.1	XP_001562211.1	CBZ31961.1	KEG10717.1	KAG5510502.1	KAG5485436.1	KAG5485984.1	KPA77411.1	ORC86056.1
9	9	0.698	KNH07286.1	CCW67672.1	XP_001564104.1	CBZ32287.1	KEG09286.1	KAG5510084.1	*	KAG5485323.1	KPA76921.1	ORC88593.1
9	9	0.698	KNH07499.1	*	XP_001565747.1	CBZ34819.1	KEG09384.1	KAG5502916.1	KAG5477058.1	KAG5477321.1	KPA79686.1	ORC89635.1
9	9	0.697	*	CCW68630.1	XP_001566252.1	CBZ35623.1	KEG10508.1	KAG5500534.1	KAG5474450.1	KAG5474787.1	KPA85232.1	ORC87069.1
9	9	0.697	*	CCW68970.1	XP_001568575.1	CBZ38385.1	KEG13011.1	KAG5492897.1	KAG5467061.1	KAG5466531.1	KPA86598.1	ORC91974.1
9	9	0.697	*	CCW69583.1	XP_001564072.1	CBZ33452.1	KEG08075.1	KAG5507677.1	KAG5481108.1	KAG5481434.1	KPA78637.1	ORC92741.1
9	9	0.697	*	CCW71525.1	XP_001564159.1	CBZ33503.1	KEG12594.1	KAG5507005.1	KAG5480517.1	KAG5480846.1	KPA82646.1	ORC92500.1
9	9	0.697	KNH07334.1	CCW69957.1	XP_001569175.1	CBZ38995.1	*	KAG5490691.1	KAG5464384.1	KAG5465120.1	KPA81625.1	ORC91358.1
9	9	0.697	KNH08469.1	*	XP_001563457.1	CBZ32825.1	KEG13930.1	KAG5509039.1	KAG5482787.1	KAG5482966.1	KPA73268.1	ORC88053.1
9	9	0.696	*	CCW67128.1	XP_001568640.1	CBZ38442.1	KEG13454.1	KAG5489884.1	KAG5463832.1	KAG5464563.1	KPA79808.1	ORC93218.1
9	9	0.696	*	CCW68180.1	XP_001566963.1	CBZ36361.1	KEG15491.1	KAG5498838.1	KAG5472557.1	KAG5472938.1	KPA83477.1	ORC90719.1
